ID            : 5943
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWM
A1            : 56
A2            : 0
Z1            : 26
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.080	6.416	0.450	1.05225	1.01768	0.05962	0.05640	0.31226	0.41820
0.080	7.842	0.550	1.05826	0.86991	0.06546	0.05660	8.16725	10.67775
0.080	9.267	0.650	0.80826	0.74480	0.05384	0.05038	1.34757	1.57245
0.080	10.690	0.750	0.67751	0.64500	0.06524	0.04731	0.23607	0.39978
0.080	12.120	0.850	0.50450	0.57291	0.07320	0.06950	0.88883	1.03641
0.125	5.569	0.250	1.26851	1.28946	0.06109	0.05655	0.13515	0.16078
0.125	7.797	0.350	1.02522	1.08072	0.05459	0.05022	1.07952	1.26632
0.125	10.020	0.450	0.88575	0.89311	0.04975	0.04675	0.02858	0.02122
0.125	12.250	0.550	0.73718	0.73206	0.04736	0.04308	0.00802	0.02425
0.125	14.480	0.650	0.66409	0.59980	0.04936	0.04244	1.65533	1.99113
0.125	16.710	0.750	0.55836	0.49744	0.04326	0.04237	1.93999	2.32668
0.125	18.940	0.850	0.41289	0.42559	0.06735	0.06308	0.03834	0.03454
0.175	4.678	0.150	1.31457	1.39104	0.06252	0.06056	1.55800	1.46331
0.175	7.797	0.250	1.09731	1.14733	0.05435	0.05323	0.89223	0.77533
0.175	10.920	0.350	0.87574	0.92785	0.05694	0.04717	0.87109	1.14580
0.175	14.030	0.450	0.74589	0.73827	0.05190	0.04416	0.01680	0.03194
0.175	17.150	0.550	0.51852	0.57957	0.03994	0.03738	2.38352	2.27735
0.175	20.270	0.650	0.50891	0.45173	0.04292	0.03997	1.73741	2.09644
0.175	23.390	0.750	0.36894	0.35461	0.04631	0.03791	0.08990	0.14425
0.225	6.015	0.150	1.18641	1.23154	0.06671	0.05878	0.48682	0.67613
0.225	10.020	0.250	0.94472	0.98464	0.07133	0.04973	0.33100	0.21985
0.225	14.030	0.350	0.78814	0.77363	0.05647	0.04544	0.05773	0.19344
0.225	18.040	0.450	0.58670	0.59616	0.04507	0.03981	0.05085	0.01994
0.225	22.050	0.550	0.43462	0.45022	0.04075	0.03615	0.15650	0.12324
0.225	26.060	0.650	0.30887	0.33428	0.03928	0.03343	0.43067	0.68032
0.225	30.070	0.750	0.18842	0.24718	0.03323	0.03052	3.15086	3.43952
0.275	7.352	0.150	1.05125	1.05529	0.06550	0.05563	0.00651	-0.00684
0.275	12.250	0.250	0.82268	0.82235	0.05115	0.04743	0.00016	0.00158
0.275	17.150	0.350	0.64547	0.63100	0.04830	0.04238	0.08048	0.10420
0.275	22.050	0.450	0.53914	0.47345	0.04516	0.03979	2.07508	2.71038
0.275	26.960	0.550	0.33580	0.34564	0.03725	0.03286	0.07561	0.11980
0.275	31.860	0.650	0.23979	0.24513	0.03671	0.03224	0.02349	0.02444
0.275	36.760	0.750	0.16119	0.17035	0.03586	0.03143	0.06799	-0.00569
0.350	9.357	0.150	0.85462	0.79319	0.03838	0.03674	2.47745	2.84195
0.350	15.590	0.250	0.61133	0.59864	0.03436	0.02976	0.12109	0.17874
0.350	21.830	0.350	0.44263	0.44654	0.02634	0.02560	0.02845	0.00532
0.350	28.070	0.450	0.35382	0.32460	0.02706	0.02415	1.13252	1.41779
0.350	34.310	0.550	0.23017	0.22728	0.02379	0.02123	0.01210	0.03056
0.350	40.550	0.650	0.13166	0.15177	0.02002	0.01906	1.02512	0.91868
0.450	12.030	0.150	0.53293	0.48923	0.03225	0.02861	1.78427	2.80959
0.450	20.050	0.250	0.35853	0.35591	0.02993	0.02257	0.00537	0.05804
0.450	28.070	0.350	0.24900	0.25800	0.02002	0.01988	0.21574	0.18370
0.450	36.090	0.450	0.19513	0.18178	0.02097	0.01957	0.39153	0.58046
0.450	44.110	0.550	0.13646	0.12223	0.02021	0.01905	0.48460	0.51811
0.450	52.130	0.650	0.10262	0.07677	0.02298	0.02050	1.25389	1.76330
0.550	14.700	0.150	0.29986	0.26356	0.02631	0.02064	1.86645	3.74445
