ID            : 5945
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWP
A1            : 56
A2            : 0
Z1            : 26
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.275	21.797	0.650	1.27000	1.28593	0.09664	0.09664	0.02718	0.02718
0.350	6.402	0.150	1.14200	1.12463	0.05611	0.05611	0.09578	0.09578
0.350	10.670	0.250	0.99290	1.07305	0.03364	0.03364	5.67611	5.67611
0.350	14.938	0.350	0.97030	1.03607	0.03571	0.03571	3.39176	3.39176
0.350	19.206	0.450	0.95670	1.00728	0.04292	0.04292	1.38878	1.38878
0.350	23.473	0.550	0.98970	0.98406	0.05518	0.05518	0.01045	0.01045
0.350	27.741	0.650	0.86250	0.96459	0.07805	0.07805	1.71078	1.71078
0.450	13.718	0.250	0.62290	0.66962	0.02460	0.02460	3.60688	3.60688
0.450	19.206	0.350	0.60810	0.63754	0.03334	0.03334	0.77963	0.77963
0.450	24.693	0.450	0.55480	0.61461	0.03312	0.03312	3.26092	3.26092
0.450	30.180	0.550	0.63580	0.59665	0.05340	0.05340	0.53737	0.53737
0.550	16.767	0.250	0.32330	0.36231	0.02126	0.02126	3.36734	3.36734
0.550	23.473	0.350	0.33160	0.33908	0.02467	0.02467	0.09191	0.09191
0.550	30.180	0.450	0.26310	0.32321	0.03100	0.03100	3.75953	3.75953
0.550	36.887	0.550	0.25050	0.31116	0.05322	0.05322	1.29910	1.29910
0.650	27.741	0.350	0.13670	0.15018	0.01495	0.01495	0.81280	0.81280
0.650	35.667	0.450	0.13640	0.14096	0.02590	0.02590	0.03096	0.03096
0.045	4.115	0.650	1.55400	1.46892	0.07113	0.07113	1.43072	1.43072
0.045	4.749	0.750	1.58000	1.43654	0.08830	0.08830	2.63949	2.63949
0.080	5.065	0.450	1.77700	1.74591	0.05560	0.05560	0.31264	0.31264
0.080	6.191	0.550	1.79500	1.71568	0.06863	0.06863	1.33588	1.33588
0.080	7.316	0.650	1.78400	1.68546	0.06767	0.06767	2.12040	2.12040
0.080	8.442	0.750	1.67500	1.65824	0.08913	0.08913	0.03538	0.03538
0.125	4.397	0.250	1.90300	1.84804	0.05587	0.05587	0.96751	0.96751
0.125	6.156	0.350	1.86000	1.82629	0.05294	0.05294	0.40557	0.40557
0.125	7.914	0.450	1.79900	1.79680	0.06302	0.06302	0.00121	0.00121
0.125	9.673	0.550	1.78300	1.76646	0.05821	0.05821	0.08077	0.08077
0.125	11.432	0.650	1.79100	1.73823	0.07112	0.07112	0.55051	0.55051
0.125	13.191	0.750	1.81400	1.71367	0.10160	0.10160	0.97522	0.97522
0.175	6.156	0.250	1.76500	1.76724	0.06058	0.06058	0.00137	0.00137
0.175	8.618	0.350	1.60400	1.73669	0.05042	0.05042	6.92592	6.92592
0.175	11.080	0.450	1.68600	1.70511	0.05916	0.05916	0.10434	0.10434
0.175	13.542	0.550	1.65600	1.67557	0.06369	0.06369	0.09438	0.09438
0.175	16.005	0.650	1.72700	1.64920	0.08834	0.08834	0.77560	0.77560
0.175	18.467	0.750	1.68900	1.62649	0.10590	0.10590	0.34837	0.34837
0.225	4.749	0.150	1.67600	1.63551	0.07290	0.07290	0.30849	0.30849
0.225	7.914	0.250	1.55600	1.60058	0.05284	0.05284	0.71190	0.71190
0.225	11.080	0.350	1.44700	1.56521	0.05141	0.05141	5.28702	5.28702
0.225	14.246	0.450	1.45600	1.53317	0.05674	0.05674	1.84974	1.84974
0.225	17.412	0.550	1.43800	1.50488	0.07094	0.07094	0.88886	0.88886
0.225	20.577	0.650	1.44300	1.48027	0.09303	0.09303	0.16050	0.16050
0.225	23.743	0.750	1.51200	1.45914	0.12220	0.12220	0.18709	0.18709
0.275	5.804	0.150	1.47100	1.43788	0.06678	0.06678	0.24598	0.24598
0.275	9.673	0.250	1.26600	1.39250	0.04904	0.04904	6.65383	6.65383
0.275	13.542	0.350	1.28900	1.35489	0.05072	0.05072	1.68790	1.68790
0.275	17.412	0.450	1.20300	1.32346	0.05401	0.05401	4.97428	4.97428
0.275	21.281	0.550	1.35200	1.29686	0.06827	0.06827	0.65243	0.65243
0.275	25.150	0.650	1.12200	1.27420	0.08459	0.08459	3.23735	3.23735
0.350	7.387	0.150	1.06900	1.11214	0.03758	0.03758	1.31788	1.31788
0.350	12.311	0.250	1.03100	1.05971	0.03318	0.03318	0.74852	0.74852
0.350	17.236	0.350	0.92760	1.02250	0.03228	0.03228	8.64325	8.64325
0.350	22.160	0.450	0.96680	0.99383	0.03885	0.03885	0.48416	0.48416
0.350	27.085	0.550	0.85510	0.97065	0.05373	0.05373	4.62516	4.62516
0.350	32.009	0.650	1.02400	0.95116	0.06719	0.06719	1.17539	1.17539
0.450	9.497	0.150	0.69130	0.70610	0.03699	0.03699	0.16001	0.16001
0.450	15.829	0.250	0.60270	0.65625	0.02671	0.02671	4.01898	4.01898
0.450	22.160	0.350	0.55010	0.62500	0.02618	0.02618	8.18531	8.18531
0.450	28.492	0.450	0.55460	0.60254	0.03114	0.03114	2.37007	2.37007
0.450	34.823	0.550	0.51760	0.58486	0.04288	0.04288	2.46043	2.46043
0.550	19.346	0.250	0.34370	0.35201	0.02069	0.02069	0.16128	0.16128
0.550	27.085	0.350	0.29970	0.32996	0.02185	0.02185	1.91832	1.91832
0.550	34.823	0.450	0.28600	0.31465	0.02582	0.02582	1.23163	1.23163
0.550	42.562	0.550	0.23700	0.30300	0.03278	0.03278	4.05392	4.05392
0.650	22.864	0.250	0.14920	0.15789	0.01139	0.01139	0.58230	0.58230
0.650	32.009	0.350	0.12990	0.14476	0.01327	0.01327	1.25403	1.25403
0.650	41.155	0.450	0.10560	0.13606	0.02262	0.02262	1.81357	1.81357
0.045	4.664	0.650	1.61600	1.49800	0.07011	0.07011	2.83254	2.83254
0.045	5.382	0.750	1.58300	1.46469	0.09001	0.09001	1.72773	1.72773
0.080	4.465	0.350	1.80800	1.79382	0.06720	0.06720	0.04452	0.04452
0.080	5.741	0.450	1.77700	1.76660	0.06491	0.06491	0.02569	0.02569
0.080	7.016	0.550	2.00200	1.73462	0.08023	0.08023	11.10697	11.10697
0.080	8.292	0.650	1.81200	1.70309	0.07774	0.07774	1.96258	1.96258
0.080	9.568	0.750	1.73400	1.67489	0.10000	0.10000	0.34939	0.34939
0.125	4.983	0.250	1.85100	1.86151	0.06557	0.06557	0.02569	0.02569
0.125	6.976	0.350	1.77300	1.83682	0.05133	0.05133	1.54595	1.54595
0.125	8.970	0.450	1.78900	1.80541	0.05419	0.05419	0.09166	0.09166
0.125	10.963	0.550	1.67600	1.77368	0.06443	0.06443	2.29837	2.29837
